date,price,route,currency,price_level,typical_low,typical_high,airline
2026-03-05 16:15,372,GYE-YYZ,CAD,typical,360,495,Avianca
2026-03-05 21:03,372,GYE-YYZ,CAD,typical,360,495,Avianca
2026-03-06 05:02,372,GYE-YYZ,CAD,typical,360,495,Avianca
2026-03-06 07:57,372,GYE-YYZ,CAD,typical,360,495,Avianca
2026-03-06 14:08,371,GYE-YYZ,CAD,typical,360,495,Avianca
2026-03-06 19:51,370,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-07 04:49,369,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-07 07:43,369,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-07 13:51,369,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-07 19:02,369,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-08 05:03,369,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-08 07:46,369,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-08 13:54,369,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-08 19:34,370,GYE-YYZ,CAD,typical,360,495,Avianca
2026-03-09 05:21,369,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-09 08:04,369,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-09 15:42,370,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-09 19:56,369,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-10 05:02,403,GYE-YYZ,CAD,typical,360,495,Avianca
2026-03-10 08:01,402,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-10 15:14,402,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-10 19:56,402,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-11 05:04,402,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-11 08:02,402,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-11 15:09,402,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-11 19:55,403,GYE-YYZ,CAD,typical,360,490,Avianca
2026-03-12 05:08,353,GYE-YYZ,CAD,low,360,490,Avianca
2026-03-12 08:03,353,GYE-YYZ,CAD,low,360,490,Avianca
2026-03-12 15:13,354,GYE-YYZ,CAD,low,360,495,Avianca
2026-03-12 19:58,371,GYE-YYZ,CAD,typical,360,495,Avianca
