date,price,route,currency,price_level,typical_low,typical_high,airline
2026-03-05 16:15,352,YYZ-GYE,CAD,high,260,295,United
2026-03-05 20:48,352,YYZ-GYE,CAD,high,240,340,United
2026-03-05 21:03,352,YYZ-GYE,CAD,high,240,340,United
2026-03-06 05:03,352,YYZ-GYE,CAD,high,240,340,United
2026-03-06 07:57,352,YYZ-GYE,CAD,high,240,340,COPA
2026-03-06 14:08,352,YYZ-GYE,CAD,high,240,340,Avianca
2026-03-06 19:51,358,YYZ-GYE,CAD,high,240,340,Avianca
2026-03-07 04:49,358,YYZ-GYE,CAD,high,240,340,Avianca
2026-03-07 07:44,357,YYZ-GYE,CAD,high,240,340,Avianca
2026-03-07 13:52,357,YYZ-GYE,CAD,high,240,340,Avianca
2026-03-07 19:02,357,YYZ-GYE,CAD,high,240,340,Avianca
2026-03-08 05:03,357,YYZ-GYE,CAD,high,240,340,United
2026-03-08 07:46,357,YYZ-GYE,CAD,high,240,340,United
2026-03-08 13:54,357,YYZ-GYE,CAD,high,240,340,United
2026-03-08 19:34,357,YYZ-GYE,CAD,high,240,340,United
2026-03-09 05:21,357,YYZ-GYE,CAD,high,240,340,United
2026-03-09 08:04,357,YYZ-GYE,CAD,high,240,340,United
2026-03-09 15:42,357,YYZ-GYE,CAD,high,240,340,United
2026-03-09 19:56,357,YYZ-GYE,CAD,high,240,340,United
2026-03-10 05:02,375,YYZ-GYE,CAD,high,240,340,Delta
2026-03-10 08:01,375,YYZ-GYE,CAD,high,240,340,Delta
2026-03-10 15:14,375,YYZ-GYE,CAD,high,240,340,Delta
2026-03-10 19:56,375,YYZ-GYE,CAD,high,240,340,Delta
2026-03-11 05:04,375,YYZ-GYE,CAD,high,240,340,Delta
2026-03-11 08:02,375,YYZ-GYE,CAD,high,240,340,Delta
2026-03-11 15:09,375,YYZ-GYE,CAD,high,240,340,Delta
2026-03-11 19:55,378,YYZ-GYE,CAD,high,240,340,Delta
2026-03-12 05:08,368,YYZ-GYE,CAD,high,240,340,Delta
2026-03-12 08:03,368,YYZ-GYE,CAD,high,240,340,Delta
2026-03-12 15:13,368,YYZ-GYE,CAD,high,240,340,Delta
2026-03-12 19:58,368,YYZ-GYE,CAD,high,240,340,Delta
2026-03-13 05:06,368,YYZ-GYE,CAD,high,240,340,Delta
2026-03-13 08:03,368,YYZ-GYE,CAD,high,240,340,Delta
2026-03-13 15:04,368,YYZ-GYE,CAD,high,240,340,Delta
2026-03-13 19:50,368,YYZ-GYE,CAD,high,240,340,Delta
2026-03-14 05:04,368,YYZ-GYE,CAD,high,240,340,Delta
2026-03-14 07:52,368,YYZ-GYE,CAD,high,240,340,Delta
2026-03-14 14:01,368,YYZ-GYE,CAD,high,240,340,Delta
2026-03-14 19:42,368,YYZ-GYE,CAD,high,240,340,Delta
2026-03-15 05:47,368,YYZ-GYE,CAD,high,240,340,Avianca
2026-03-15 07:58,368,YYZ-GYE,CAD,high,240,340,Avianca
2026-03-15 14:03,368,YYZ-GYE,CAD,high,240,340,Avianca
2026-03-15 19:44,368,YYZ-GYE,CAD,high,240,340,Avianca
